volumen,hidrologia,tiempo,aportes,vertimiento,turbinado
45000.0,2.0,0,1187.5078655999998,0.0,6822.144
39365.3638656,1.96,1,1591.985878121739,0.0,6822.144
34135.20574372174,1.98,2,1836.9953280000002,0.0,6822.144
29150.05707172174,2.03,3,1801.8129024,0.0,6822.144
24129.725974121742,2.03,4,2019.372768,0.0,6822.144
19326.95474212174,1.93,5,1996.5149568,0.0,6822.144
14501.325698921739,2.04,6,2114.4884544,0.0,6822.0590976
9793.75505572174,2.06,7,1853.8644096,0.0,5135.5348992
6512.084566121739,1.98,8,1845.5544576,0.0,3666.638603269565
4691.000420452175,1.77,9,2113.7645088,0.0,3027.3168171130437
3777.448112139131,1.94,10,1997.8286612869563,0.0,2763.4657861565215
3011.8109872695654,1.94,11,1925.80416,0.0,2475.8864564869564
2461.7286907826087,1.88,12,2269.3148352000003,0.0,2248.840552069565
2482.2029739130435,1.94,13,2489.139072,0.0,2429.313037356522
2542.0290085565216,1.97,14,3145.5339552,0.0,2542.0290085565216
3145.5339552,2.02,15,3811.7532096,0.0,2830.8758688000003
4126.411296,2.09,16,3856.2779807999996,0.0,3171.0915936
4811.5976832,2.12,17,4010.279151443478,0.0,3487.8005568
5334.076277843477,2.11,18,3814.1639424000005,0.0,3723.412834643478
5424.8273856,1.99,19,4022.7679558956524,0.0,3532.4081856
5915.187155895652,2.14,20,4400.9917056,0.0,3738.1351654956525
6578.043696,2.2,21,4378.9509792,0.0,4052.7055296
6904.2891456,2.23,22,4142.7868608,0.0,4163.5575072
6883.5184991999995,2.09,23,4405.698127721739,0.0,4083.546621913044
7205.670005008696,2.06,24,4423.861297252174,0.0,4190.14619812174
7439.385104139131,1.95,25,4525.12872,0.0,4406.435194852174
7558.078629286956,1.89,26,4559.9512896,0.0,4557.665066713043
7560.364852173912,1.91,27,4409.394192,0.0,4639.148298156521
7330.610746017392,1.99,28,4090.8514752,0.0,4604.029034713043
6817.433186504347,1.93,29,4344.3189216,0.0,4234.643464069565
6927.108644034783,2.05,30,4414.0838112,0.0,4199.963706156522
7141.228749078261,2.08,31,3984.4024416,0.0,4209.3324
6916.298790678261,2.0,32,3683.0033856,0.0,4228.8105888
6370.491587478261,1.92,33,3706.3964448,0.0,4083.037117356522
5993.850914921739,1.98,34,3672.8028288,0.0,4005.313927513044
5661.339816208695,1.95,35,3659.7832992000003,0.0,3999.630358956522
5321.492756452174,1.88,36,3961.3674240000005,0.0,3885.045213913044
5397.81496653913,1.93,37,4411.400313599999,0.0,4066.5342816
5742.680998539129,1.84,38,4893.9744672,0.0,4280.294109913043
6356.361355826087,1.95,39,5438.8170144,0.0,4612.9099968
7182.268373426087,2.11,40,5710.0546944,0.0,4849.731795756522
8042.591272069565,2.16,41,5542.6254911999995,0.0,5128.3175328
8456.899230469566,2.18,42,4941.2988576,0.0,4912.303798956522
8485.894289113043,2.17,43,4689.523220869565,0.0,4585.2470496
8590.170460382607,2.11,44,4045.7424671999997,0.0,4483.049339269565
8152.863588313044,2.01,45,3870.008728904348,0.0,4147.739568
7875.132749217391,2.06,46,3281.3454239999996,0.0,3908.6457984000003
7247.832374817392,1.93,47,2841.0467903999997,0.0,3707.1028249043484
6381.776340313043,1.98,48,2566.8722016,0.0,3424.9733542956524
5523.67518761739,1.9,49,2536.1126784,0.0,2948.9682227478256
5110.819643269564,1.96,50,2131.5661920000002,0.0,2969.6172254608696
4272.768609808695,1.89,51,1963.610208,0.0,2641.099331895652
3595.279485913043,1.91,52,1675.8481824,0.0,2479.9338056347824
2791.1938626782608,1.81,53,1725.2666270608697,0.0,2069.542558330435
2446.9179314086955,1.73,54,1722.1069152,0.0,2027.5950765913044
2141.429770017391,1.76,55,1705.9581503999998,0.0,1914.114874852174
1933.2730455652172,1.87,56,1875.720672,0.0,1792.9006221913044
2016.093095373913,1.9,57,2155.4570016000002,0.0,1980.5119488
2191.038148173913,1.97,58,2051.9194752000003,0.0,2188.471824
2054.485799373913,1.93,59,2213.2589472,0.0,2054.485799373913
2213.2589472,2.1,60,2103.4357344,0.0,2213.2589472
2103.4357344,2.04,61,1825.3607904,0.0,2103.4357344
1825.3607904,1.91,62,1916.393366817391,0.0,1825.3607904
1916.393366817391,2.01,63,1979.0023680000002,0.0,1916.393366817391
1979.0023680000002,1.99,64,2259.4965119999997,0.0,1979.0023680000002
2259.4965119999997,2.0,65,2664.2570976,0.0,2259.4965119999997
2664.2570976,2.1,66,3042.3635424000004,0.0,2664.2570976
3042.3635424000004,1.9,67,3603.1546655999996,0.0,2711.7484128
3933.7697952,2.04,68,4021.3569312,0.0,3084.1274015999998
4870.999324799999,2.06,69,4317.255620452173,0.0,3327.4366272
5860.818318052173,2.07,70,3824.4255840000005,0.0,3584.180564452174
6101.0633376,1.94,71,3747.005136,0.0,3629.2275936
6218.84088,1.96,72,4001.355748173913,0.0,3672.9770111999997
6547.219616973914,1.99,73,4118.0753376,0.0,3842.5659552
6822.728999373913,2.07,74,4206.544272,0.0,3978.2582784000006
7051.014992973913,2.12,75,4788.227685286956,0.0,4222.8962495999995
7616.346428660869,2.16,76,5165.50644813913,0.0,4320.404866643478
8461.44801015652,2.18,77,4838.2082783999995,0.0,4749.569000765217
8550.087287791304,2.02,78,4945.003257599999,0.0,4892.630680486956
8602.459864904347,2.09,79,4582.2030912,0.0,4883.1805227130435
8301.482433391304,2.01,80,4548.3330816,0.0,4626.579344556522
8223.236170434782,2.18,81,4397.5757952,0.0,4669.192947756522
7951.61901787826,2.12,82,4878.0700416,0.0,4695.331798956522
8134.357260521739,2.34,83,4469.3945856,0.0,4775.527069356522
7828.224776765216,2.3,84,4250.9015136,0.0,4754.902179756522
7324.224110608695,2.23,85,3872.7019296000003,0.0,4609.3586112
6587.5674290086945,2.15,86,3915.6130943999997,0.0,4381.682518956522
6121.498004452173,2.11,87,4349.001888,0.0,4150.904065669565
6319.595826782609,2.28,88,3876.9802848000004,0.0,4286.1565152
5910.419596382609,1.89,89,4407.1648992,0.0,4104.4643135999995
6213.120181982608,1.89,90,4587.160032000001,0.0,4419.264528
6381.015685982608,1.78,91,4935.6143424,0.0,4467.5880480000005
6849.041980382608,1.86,92,5099.879232,0.0,4686.301872
7262.619340382608,1.85,93,4911.3957312,0.0,4725.867546156522
7448.147525426087,1.88,94,4340.0181888,0.0,4677.850659756522
7110.3150544695645,1.86,95,4233.410960556522,0.0,4370.6833632
6973.0426518260865,1.89,96,3866.8698432,0.0,4182.784362156522
6657.128132869565,1.87,97,3513.534218295652,0.0,3964.2414335999997
6206.420917565218,1.84,98,2821.2381704347827,0.0,3553.4763936000004
5474.1826943999995,1.82,99,2346.1843366956523,0.0,3223.9307607652177
4596.436270330434,1.81,100,2316.783168,0.0,2687.7347762086956
4225.484662121738,1.81,101,2337.6874752,0.0,2592.6106489043477
3970.5614884173906,1.85,102,2252.2231872,0.0,2715.0342649043478
