step,action,reward
0,0.0,-20845536.623142667
1,0.0,-24450803.720298495
2,0.0,-30736691.159190364
3,0.0,-31123401.134087797
4,0.0,-29746515.038939904
5,0.0,-18862180.481389876
6,0.0,-34362458.14289646
7,0.0,-15773301.317059796
8,0.0,-22707859.790911175
9,0.0,-22530714.637190033
10,0.0,-21428552.748414654
11,1.0,-14090979.910000589
12,0.0,-10225951.757894479
13,0.0,3648.996173651176
14,0.0,-13155864.514598886
15,0.0,-2914632.6519459486
16,0.0,-20159535.76290106
17,0.0,-20333428.707098
18,0.0,-16625228.753693111
19,0.0,-10987498.663789768
20,0.0,-19919202.592136145
21,0.0,-13077985.64275811
22,0.0,-10251903.095474001
23,0.0,-17766967.651666526
24,0.0,-30205309.504586346
25,0.0,-28514751.73917766
26,0.0,-18793361.048798844
27,0.5297861,-28717415.42903487
28,0.0,-23760218.199625697
29,0.0,-22072554.242979933
30,0.0,-20192989.58114776
31,0.0,-14064583.26775176
32,0.0,-29593463.540109493
33,0.0,-16037344.793606939
34,0.0,-23576109.46331718
35,0.0,-13317570.80831906
36,0.0,-10054808.48670028
37,0.0,-2999696.1420492446
38,0.0,-17644907.688323714
39,0.0,-12611440.80591732
40,0.0,-16291561.496653616
41,0.0,-8676232.017535245
42,0.0,-5117831.830549974
43,0.0,-7139072.725526453
44,0.0,-20515753.2908072
45,0.0,-14469645.937342878
46,0.0,-15538437.868073964
47,0.0,-18253339.973512344
48,0.0,-16654457.832995139
49,0.0,-19182920.266828604
50,0.0,-13463375.576933462
51,0.0,-17265356.88819596
